"원시순위","코드","종목","시장","유니버스","가격","DART","실적지표수","공시일","컴플라이언스","랭킹상태","랭킹","점수","주요 사유"
"69","307950","현대오토에버","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","82","0.5721127350968529","가격·DART·컴플라이언스 조건 모두 통과"
"70","071050","한국금융지주","KOSPI","통과","가용","불충분","2","2025-11-14","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"71","000100","유한양행","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","192","0.23745025444397544","가격·DART·컴플라이언스 조건 모두 통과"
"72","007660","이수페타시스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","49","0.6417183176211247","가격·DART·컴플라이언스 조건 모두 통과"
"73","047050","포스코인터내셔널","KOSPI","통과","가용","가용","4","2025-11-14","통과","랭킹 가능","146","0.3790000175882932","가격·DART·컴플라이언스 조건 모두 통과"
"74","443060","HD현대마린솔루션","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","86","0.5561927501055297","가격·DART·컴플라이언스 조건 모두 통과"
"75","278470","에이피알","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","8","0.8157885711270578","가격·DART·컴플라이언스 조건 모두 통과"
"76","003490","대한항공","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","115","0.459840738004784","가격·DART·컴플라이언스 조건 모두 통과"
"77","180640","한진칼","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","98","0.5232938183012054","가격·DART·컴플라이언스 조건 모두 통과"
"78","000720","현대건설","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","142","0.4020733080061911","가격·DART·컴플라이언스 조건 모두 통과"
"79","039490","키움증권","KOSPI","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","36","0.6736295788190048","가격·DART·컴플라이언스 조건 모두 통과"
"80","005940","NH투자증권","KOSPI","통과","가용","결측","0","2026-05-14","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"81","005387","현대차2우B","KOSPI","제외","미평가","미평가","","","미평가","미랭킹","","","우선주"
"82","161390","한국타이어앤테크놀로지","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"83","090430","아모레퍼시픽","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","117","0.45700667768866376","가격·DART·컴플라이언스 조건 모두 통과"
"84","016360","삼성증권","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"85","028300","HLB","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","205","0.147109510576427","가격·DART·컴플라이언스 조건 모두 통과"
"86","377300","카카오페이","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","125","0.44552782467989305","가격·DART·컴플라이언스 조건 모두 통과"
"87","950160","코오롱티슈진","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","75","0.5848255827587824","가격·DART·컴플라이언스 조건 모두 통과"
"88","029780","삼성카드","KOSPI","통과","가용","가용","4","2025-05-15","통과","랭킹 가능","158","0.34035630950705875","가격·DART·컴플라이언스 조건 모두 통과"
"89","011070","LG이노텍","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","22","0.7370437303597392","가격·DART·컴플라이언스 조건 모두 통과"
"90","141080","리가켐바이오","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","195","0.2314699709206885","가격·DART·컴플라이언스 조건 모두 통과"
"91","006260","LS","KOSPI","통과","가용","가용","4","2026-03-18","통과","랭킹 가능","30","0.696619647296093","가격·DART·컴플라이언스 조건 모두 통과"
"92","032640","LG유플러스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","122","0.44877233713240466","가격·DART·컴플라이언스 조건 모두 통과"
"93","021240","코웨이","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","85","0.5632114171474134","가격·DART·컴플라이언스 조건 모두 통과"
"94","000880","한화","KOSPI","통과","가용","가용","4","2026-05-29","통과","랭킹 가능","93","0.5372775080906149","가격·DART·컴플라이언스 조건 모두 통과"
"95","064400","LG씨엔에스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","141","0.40670670934759157","가격·DART·컴플라이언스 조건 모두 통과"
"96","087010","펩트론","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","179","0.27380686881478355","가격·DART·컴플라이언스 조건 모두 통과"
"97","034220","LG디스플레이","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","185","0.26029111556681206","가격·DART·컴플라이언스 조건 모두 통과"
"98","128940","한미약품","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","152","0.36202467637540453","가격·DART·컴플라이언스 조건 모두 통과"
"99","241560","두산밥캣","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","124","0.44640290089583046","가격·DART·컴플라이언스 조건 모두 통과"
"100","000250","삼천당제약","KOSDAQ","통과","가용","가용","4","2026-06-02","통과","랭킹 가능","131","0.4292841857792786","가격·DART·컴플라이언스 조건 모두 통과"
"101","088980","맥쿼리인프라","KOSPI","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"102","078930","GS","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","15","0.7672075653111955","가격·DART·컴플라이언스 조건 모두 통과"
"103","454910","두산로보틱스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","106","0.4919235730031425","가격·DART·컴플라이언스 조건 모두 통과"
"104","001040","CJ","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","169","0.31276080507480886","가격·DART·컴플라이언스 조건 모두 통과"
"105","138930","BNK금융지주","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"106","175330","JB금융지주","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"107","005385","현대차우","KOSPI","제외","미평가","미평가","","","미평가","미랭킹","","","우선주"
"108","028050","삼성E&A","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","87","0.5533826978096712","가격·DART·컴플라이언스 조건 모두 통과"
"109","009830","한화솔루션","KOSPI","통과","가용","결측","0","2026-05-14","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"110","058470","리노공업","KOSDAQ","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","101","0.5116255980019699","가격·DART·컴플라이언스 조건 모두 통과"
"111","022100","포스코DX","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","204","0.1917412703437925","가격·DART·컴플라이언스 조건 모두 통과"
"112","036570","엔씨소프트","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","16","0.7563390553913982","가격·DART·컴플라이언스 조건 모두 통과"
"113","001440","대한전선","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","90","0.5496662328221003","가격·DART·컴플라이언스 조건 모두 통과"
"114","214450","파마리서치","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","123","0.4465748850898176","가격·DART·컴플라이언스 조건 모두 통과"
"115","271560","오리온","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","74","0.5872896440129449","가격·DART·컴플라이언스 조건 모두 통과"
"116","251270","넷마블","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","165","0.3219987629567093","가격·DART·컴플라이언스 조건 모두 통과"
"117","004020","현대제철","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","186","0.2598617853290183","가격·DART·컴플라이언스 조건 모두 통과"
"118","035250","강원랜드","KOSPI","통과","가용","불충분","2","2026-05-15","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"119","310210","보로노이","KOSDAQ","통과","가용","가용","3","2026-05-15","통과","랭킹 가능","206","0.13376811594202898","가격·DART·컴플라이언스 조건 모두 통과"
"120","347850","디앤디파마텍","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","100","0.5166425120772946","가격·DART·컴플라이언스 조건 모두 통과"
"121","062040","산일전기","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","25","0.7255632650907555","가격·DART·컴플라이언스 조건 모두 통과"
"122","051900","LG생활건강","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","140","0.4073952323999812","가격·DART·컴플라이언스 조건 모두 통과"
"123","011790","SKC","KOSPI","통과","가용","가용","3","2021-04-23","통과","랭킹 가능","188","0.2555813517189625","가격·DART·컴플라이언스 조건 모두 통과"
"124","214370","케어젠","KOSDAQ","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","41","0.6629515501149101","가격·DART·컴플라이언스 조건 모두 통과"
"125","066970","엘앤에프","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","35","0.674481555743164","가격·DART·컴플라이언스 조건 모두 통과"
"126","108490","로보티즈","KOSDAQ","통과","가용","가용","4","2026-07-08","통과","랭킹 가능","5","0.8467884069696543","가격·DART·컴플라이언스 조건 모두 통과"
"127","302440","SK바이오사이언스","KOSPI","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","200","0.22407963392899022","가격·DART·컴플라이언스 조건 모두 통과"
"128","030530","원익홀딩스","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","137","0.4144742859152948","가격·DART·컴플라이언스 조건 모두 통과"
"129","002380","KCC","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","89","0.550801234698185","가격·DART·컴플라이언스 조건 모두 통과"
"130","0009K0","에임드바이오","KOSDAQ","제외","미평가","미평가","","","미평가","미랭킹","","","유효한 6자리 종목코드가 아님"
"131","450080","에코프로머티","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","132","0.42867677407251065","가격·DART·컴플라이언스 조건 모두 통과"
